N-1,精霊式,攻撃,-,na_14_honoka_o_n_1_s7_2.png,O,y,n,n,n,n,n
N-2,桜吹雪,攻撃,-,na_14_honoka_o_n_2_s5.png,O,n,n,y,n,n,n
N-3,義旗共振,攻撃,全力,na_14_honoka_o_n_3.png,O,n,n,n,n,n,n
N-4,桜の翅,行動,-,na_14_honoka_o_n_4.png,O,n,n,y,n,n,n
N-5,桜花のお守り,行動,対応,na_14_honoka_o_n_5.png,O,n,n,n,n,n,n
N-6,指揮,付与,-,na_14_honoka_o_n_6_s4.png,O,y,n,n,n,n,n
N-7,追い風,付与,-,na_14_honoka_o_n_7.png,O,n,y,n,n,n,n
S-1,胸に想いを,行動,-,na_14_honoka_o_s_1.png,O,n,n,n,n,n,n
S-2,この旗の名の下に,攻撃,-,na_14_honoka_o_s_2.png,O,n,n,n,n,n,n
S-3,四季はまた廻り来る,行動,対応,na_14_honoka_o_s_3_s4.png,O,n,n,n,n,n,n
S-4,満天の花道で,付与,-,na_14_honoka_o_s_4.png,O,n,n,n,n,n,n
N-1,桜の双剣,攻撃,-,na_14_honoka_a1_n_1.png,a1,n,n,y,n,n,n
S-1,ひとり目覚めて,行動,-,na_14_honoka_a1_s_1_s7.png,a1,n,n,y,n,n,n
A-N,守護霊式,攻撃,対応,na_14_honoka_o_n_1_ex1.png,O,n,n,y,n,n,n
A-N,突撃霊式,攻撃,-,na_14_honoka_o_n_1_ex2_s9_5.png,O,y,n,y,y,n,n
A-N,神霊ヲウカ,攻撃,全力,na_14_honoka_o_n_1_ex3.png,O,y,n,y,n,n,n
A-N,再生,行動,全力,na_14_honoka_o_n_4_ex1.png,O,n,n,y,n,n,n
A-N,仄かなる輝き,攻撃,-,na_14_honoka_o_n_5_ex1.png,O,n,n,n,n,n,n
A-S,両手に華を,行動,全力,na_14_honoka_o_s_1_ex1_s5.png,O,n,n,n,n,n,n
A-S,そして新たな幕開けを,行動,-,na_14_honoka_o_s_1_ex2.png,O,y,n,n,n,n,n
A-N,影の両手,攻撃,-,na_14_honoka_a1_n_1_ex1.png,a1,n,n,y,n,n,n
A-N,再生,行動,全力,na_14_honoka_o_n_4_ex1.png,a1,n,n,y,n,n,n
A-N,仄かなる輝き,攻撃,-,na_14_honoka_o_n_5_ex1.png,a1,n,n,n,n,n,n
A-N,標をたどり,行動,-,na_14_honoka_a1_s_1_ex1.png,a1,n,n,n,n,n,n
A-N,影面見向き,行動,-,na_14_honoka_a1_s_1_ex2.png,a1,n,n,n,n,n,n
A-S,桜花眩く輝かん,攻撃,-,na_14_honoka_a1_s_1_ex3_s6_2.png,a1,n,n,n,n,n,n
A-S,ふたり震える手を取ろう,行動,-,na_14_honoka_a1_s_1_ex4.png,a1,n,n,y,n,n,n
A-S,旧き虚路を歩みゆく,行動,-,na_14_honoka_a1_s_1_ex5.png,a1,n,n,n,n,n,n